query_index,col_item,col_timestamp,cf_index,factual_rating,cf_rating,factual_prediction,cf_prediction,desired_min,desired_max,validity,lift,l1_dist,l2_dist,mean_abs_delta,mean_rel_delta,n_changed,sparsity,max_abs_delta,max_rel_delta
0,100974271034,2020-03-02,0,2.9308000000000005,2.9,-0.0699685175273767,0.0516344850978942,-0.0699675175273767,0.5557045995495195,1,0.121603,4.3058,1.37521767,0.2050381,0.06405214,19,0.904762,0.845,0.27659574
1,100974271034,2020-03-03,0,2.835,2.9,-0.0592012513861256,-0.0577398564077885,-0.0592002513861256,0.5557045995495195,1,0.00146139,2.3108,0.73581835,0.1100381,0.03517856,19,0.904762,0.46,0.15131579
2,100974271034,2020-03-04,0,2.835,2.9,-0.0551083399722001,-0.0464963837539301,-0.0551073399722001,0.5557045995495195,1,0.00861196,3.0008,0.94018543,0.14289524,0.04590256,21,1.0,0.56,0.18421053
3,100974271034,2020-03-05,0,2.58,2.6,-0.0318504229753907,0.0954615069445657,-0.0318494229753907,0.5557045995495195,1,0.12731193,4.2008,1.01620305,0.2000381,0.06106215,21,1.0,0.37,0.11842105
4,100974271034,2020-03-06,0,2.54,2.6,-0.0157997975333173,0.0113726884387877,-0.0157987975333173,0.5557045995495195,1,0.02717249,3.5758,0.91989328,0.17027619,0.05305942,21,1.0,0.36,0.11842105
5,100974271034,2020-03-09,0,2.04,2.5,-0.0172577513683426,0.0170178127265807,-0.0172567513683426,0.5557045995495195,1,0.03427556,4.0742,1.04988744,0.19400952,0.06517461,21,1.0,0.46,0.2254902
6,100974271034,2020-03-10,0,2.245,2.0,-0.0141631618624206,0.0015771834764403,-0.0141621618624206,0.5557045995495195,1,0.01574035,2.9958,0.90769138,0.14265714,0.05254317,20,0.952381,0.46,0.2254902
7,100974271034,2020-03-11,0,2.145,2.0,-0.0184318306656526,-0.0016505351283949,-0.0184308306656526,0.5557045995495195,1,0.0167813,3.9958,1.15897525,0.19027619,0.07078179,21,1.0,0.56,0.2745098
8,100974271034,2020-03-12,0,1.74,2.1,-0.0179422168080901,-0.0152460784816971,-0.0179412168080901,0.5557045995495195,1,0.00269614,3.3058,0.97411685,0.15741905,0.06225918,20,0.952381,0.46,0.2254902
9,100974271034,2020-03-13,0,1.81,2.0,-0.0087591644092115,-0.0071593751568381,-0.0087581644092115,0.5557045995495195,1,0.00159979,6.6492,1.83111404,0.31662857,0.12861291,20,0.952381,0.76,0.43678161
10,100974271034,2020-03-16,0,1.63,1.7,-0.0029381370355781,0.0048701383987531,-0.0029371370355781,0.5557045995495195,1,0.00780828,4.1392,1.04410662,0.19710476,0.07497064,21,1.0,0.46,0.2254902
11,100974271034,2020-03-17,0,1.68,1.6,0.0157607045051538,0.1835784941842205,0.0157617045051538,0.5557045995495195,1,0.16781779,5.8292,2.21853074,0.27758095,0.13008885,21,1.0,1.97,1.20858896
12,100974271034,2020-03-18,0,1.698,1.7,-0.049764447968115,0.0157607045051538,-0.049763447968115,0.5557045995495195,1,0.06552515,3.4528,0.99034471,0.16441905,0.06963825,21,1.0,0.46,0.2254902
